market_rank,title,developer,price_usd,market_id,market_url,stars,updated,app_version,android_version,category,installs,size
89,Connect 4,Bluesky Studio,$0.00,cn.bluesky.fourinaline,https://market.android.com/details?id=cn.bluesky.fourinaline,3.8,"March 29, 2011",3.7,1.5 and up,Brain & Puzzle,"5,000,000 - 10,000,000",3.3M
90,Bistro Cook,Quasar Studios,$0.00,quasar.bistrocook,https://market.android.com/details?id=quasar.bistrocook,4.1,"January 21, 2011",1.8.2,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",2.0M
91,Bubble Blast Halloween,Magma Mobile,$0.00,com.magmamobile.game.BubbleBlastHalloween,https://market.android.com/details?id=com.magmamobile.game.BubbleBlastHalloween,4.6,"March 14, 2011",1.0.9,1.5 and up,Brain & Puzzle,"500,000 - 1,000,000",2.0M
92,Drop,Out of Pixels,$0.00,com.infraredpixel.drop,https://market.android.com/details?id=com.infraredpixel.drop,4.5,"May 9, 2010",1.3.2,1.5 and up,Arcade & Action,"500,000 - 1,000,000",770k
93,Raging Thunder - LITE,polarbit,$0.00,com.polarbit.rthunderlite,https://market.android.com/details?id=com.polarbit.rthunderlite,3.8,"January 3, 2011","1,0,9",1.5 and up,Racing,"1,000,000 - 5,000,000",5.3M
94,250+ Solitaire Collection,Alexei Anoshenko,$0.00,com.anoshenko.android.solitaires,https://market.android.com/details?id=com.anoshenko.android.solitaires,4.5,"March 26, 2011",1.5.3,1.6 and up,Cards & Casino,"1,000,000 - 5,000,000",1.8M
95,MX Moto (Lite),Camel Games,$0.00,com.camelgames.mxmotorlite,https://market.android.com/details?id=com.camelgames.mxmotorlite,4.3,"March 8, 2011",1.6.9,1.6 and up,Arcade & Action,"1,000,000 - 5,000,000",2.6M
96,Pocket Empires Online,Pocket Play,$0.00,com.miracle.android.pe,https://market.android.com/details?id=com.miracle.android.pe,4.6,"March 10, 2011",2.3.0,1.5 and up,Casual,"500,000 - 1,000,000",3.9M
97,Atomic Bomber,Luke Allen,$0.00,org.lukeallen.bomber,https://market.android.com/details?id=org.lukeallen.bomber,4.5,"January 12, 2011",6.1,2.1 and up,Arcade & Action,"1,000,000 - 5,000,000",1.2M
98,Geared,"PlayfulArt, LLC",$0.00,com.scoreloop.games.geared,https://market.android.com/details?id=com.scoreloop.games.geared,3.7,"March 24, 2011",1.0.1,1.6 and up,Brain & Puzzle,"50,000 - 100,000",4.5M
99,Crazy Snowboard,Ezone.com,$0.00,com.ezone.Snowboard,https://market.android.com/details?id=com.ezone.Snowboard,4.3,"March 21, 2011",1.0.6,2.0.1 and up,Sports Games,"1,000,000 - 5,000,000",21M
100,Touch the Numbers for Android,tekunodo.,$0.00,jp.tekunodo.ttn,https://market.android.com/details?id=jp.tekunodo.ttn,3.9,"January 11, 2011",1.5,1.6 and up,Arcade & Action,"100,000 - 500,000",3.2M
101,Strip Poker - Schoolgirls #1,Spicy Apps,$0.00,net.aaronsoft.poker.school1,https://market.android.com/details?id=net.aaronsoft.poker.school1,4.5,"March 11, 2011",1.26,1.5 and up,Cards & Casino,"100,000 - 500,000",1.7M
102,Minesweeper Classic (Mines),IT Benefit,$0.00,com.itbenefit.android.Minesweeper,https://market.android.com/details?id=com.itbenefit.android.Minesweeper,4.5,"March 11, 2011",1.5.4,1.5 and up,Brain & Puzzle,"100,000 - 500,000",267k
103,PewPew,Jean-Fran̤ois Geyelin,$0.00,com.jyaif.pewpew,https://market.android.com/details?id=com.jyaif.pewpew,4.4,"March 25, 2011",1.6.2,2.1 and up,Arcade & Action,"500,000 - 1,000,000",3.4M
104,Tic Tac Toe Free,Optime Software,$0.00,com.optimesoftware.tictactoe.free,https://market.android.com/details?id=com.optimesoftware.tictactoe.free,4.2,"December 3, 2010",1.08,1.5 and up,Casual,"1,000,000 - 5,000,000",2.8M
105,Checkers Free,Optime Software,$0.00,com.optimesoftware.checkers.free,https://market.android.com/details?id=com.optimesoftware.checkers.free,4.1,"December 3, 2010",1.07,1.5 and up,Brain & Puzzle,"1,000,000 - 5,000,000",2.4M
106,Millionaire,"SOFTWARE INDUSTRIAL CO., LTD",$0.00,jp.co.sic.millionaire,https://market.android.com/details?id=jp.co.sic.millionaire,4.3,"March 25, 2011",1.3.9,1.6 and up,Cards & Casino,"100,000 - 500,000",3.4M
107,Choice of the Dragon,Choice of Games,$0.00,com.choiceofgames.dragon,https://market.android.com/details?id=com.choiceofgames.dragon,4.7,"July 24, 2010",1.0.8,1.1 and up,Casual,"100,000 - 500,000",991k
108,Link It Lite,"Boolba Labs, LLC",$0.00,com.boolbalabs.linkit,https://market.android.com/details?id=com.boolbalabs.linkit,4.3,"March 20, 2011",1.41,1.6 and up,Brain & Puzzle,"100,000 - 500,000",1.9M
109,Slots Royale,MyWavia Studios Pvt. Ltd.,$0.00,com.mw.slotsroyale,https://market.android.com/details?id=com.mw.slotsroyale,4.3,"March 25, 2011",2.1,1.5 and up,Cards & Casino,"100,000 - 500,000",4.2M
110,GlowPuzzle,"Glosculptor, ISDS",$0.00,com.glosculptor.glowpuzzle,https://market.android.com/details?id=com.glosculptor.glowpuzzle,4.5,"March 22, 2011",1.9.2.95,1.6 and up,Brain & Puzzle,"500,000 - 1,000,000",552k
111,Push Roll,Magma Mobile,$0.00,com.magmamobile.game.pushroll,https://market.android.com/details?id=com.magmamobile.game.pushroll,4.2,"March 28, 2011",1.0.2,1.5 and up,Brain & Puzzle,"50,000 - 100,000",4.3M
112,Solitaire Free Pack,Tesseract Mobile,$0.00,com.tesseractmobile.solitairefreepack,https://market.android.com/details?id=com.tesseractmobile.solitairefreepack,4.4,"February 6, 2011",4.0,1.5 and up,Cards & Casino,"1,000,000 - 5,000,000",4.4M
113,Bubble Blast Valentine,Magma Mobile,$0.00,com.magmamobile.game.BubbleBlastValentine,https://market.android.com/details?id=com.magmamobile.game.BubbleBlastValentine,4.6,"March 22, 2011",1.0.6,1.5 and up,Brain & Puzzle,"100,000 - 500,000",1.7M
114,Cribbage Pro,"Fuller Systems, Inc.",$0.00,com.fullersystems.cribbage,https://market.android.com/details?id=com.fullersystems.cribbage,4.4,"March 23, 2011",1.5.2,1.5 and up,Cards & Casino,"100,000 - 500,000",3.7M
115,Scrabble Helper,highlycaffeinatedcode,$0.00,com.highlycaffeinatedcode.scrabblehelper,https://market.android.com/details?id=com.highlycaffeinatedcode.scrabblehelper,3.9,"March 1, 2011",1.1.9,1.5 and up,Brain & Puzzle,"100,000 - 500,000",132k
116,Find Differences,Pinecone Software,$0.00,com.pineconesoft.comparator,https://market.android.com/details?id=com.pineconesoft.comparator,4.1,"March 28, 2011",3.1,1.5 and up,Casual,"1,000,000 - 5,000,000",11M
117,Hungry Shark Free!,Future Games of London,$0.00,com.fgol.sharkfree,https://market.android.com/details?id=com.fgol.sharkfree,4.2,"March 15, 2011",1.7.4,1.5 and up,Arcade & Action,"1,000,000 - 5,000,000",8.6M
